Wall time,Step,Value
1577713418.1534662,0,-83.10368347167969
1577713443.238902,1,-86.65625
1577713466.945904,2,-36.843841552734375
1577713490.829542,3,-81.00556945800781
1577713525.326541,4,-61.98223876953125
1577713549.079499,5,-46.67344284057617
1577713572.7437608,6,-26.81353759765625
1577713596.514085,7,-73.05532836914062
1577713628.984975,8,-35.01553726196289
1577713652.938751,9,-42.5451774597168
1577713676.815962,10,-29.53335952758789
1577713701.820104,11,-15.69471549987793
1577713734.437972,12,-14.25459098815918
1577713758.308277,13,-23.468130111694336
1577713782.4646442,14,-7.805132865905762
1577713806.7636669,15,2.026479721069336
1577713839.56912,16,-8.375446319580078
1577713863.814471,17,-40.10654067993164
1577713888.126202,18,6.439915180206299
1577713912.2270222,19,10.24462604522705
1577713945.107668,20,12.171483993530273
1577713969.057659,21,47.425594329833984
1577713992.815875,22,27.811962127685547
1577714016.6054258,23,58.94071960449219
1577714049.260601,24,-15.376969337463379
1577714072.884298,25,-9.341437339782715
1577714096.570005,26,31.548532485961914
1577714120.402803,27,40.898895263671875
1577714152.977556,28,36.3529167175293
1577714176.754765,29,40.9378662109375
1577714200.947026,30,52.78803253173828
1577714224.971495,31,43.80846405029297
1577714257.384249,32,77.85797119140625
1577714281.516917,33,55.18220901489258
1577714306.302407,34,96.09269714355469
1577714330.391326,35,78.13850402832031
1577714362.991024,36,118.83354187011719
1577714387.0142982,37,123.622802734375
1577714411.176727,38,136.55780029296875
1577714435.1256971,39,121.25923919677734
1577714468.470902,40,139.59243774414062
1577714492.489044,41,132.7605438232422
1577714516.3438249,42,106.15003967285156
1577714540.433096,43,106.94788360595703
1577714572.77041,44,159.25857543945312
1577714596.694112,45,128.45755004882812
1577714620.876151,46,120.81936645507812
1577714644.580821,47,174.61944580078125
1577714677.205996,48,166.07766723632812
1577714701.208427,49,188.49114990234375
1577714726.701461,50,174.78500366210938
1577714750.696159,51,178.7536163330078
1577714783.831601,52,161.4698944091797
1577714807.899745,53,151.34335327148438
1577714832.5037382,54,209.46966552734375
1577714858.4283788,55,177.70257568359375
1577714899.4299252,56,222.17608642578125
1577714928.762738,57,273.89471435546875
1577714957.519719,58,227.18795776367188
1577714986.185343,59,246.7423095703125
1577715018.6297688,60,226.48422241210938
1577715042.6545742,61,248.90509033203125
1577715066.4287748,62,224.0442657470703
1577715091.253717,63,278.00714111328125
1577715123.430561,64,310.05010986328125
1577715147.34621,65,283.6961669921875
1577715171.195913,66,291.32464599609375
1577715195.355814,67,292.6373291015625
1577715227.597871,68,298.4809875488281
1577715253.102496,69,310.9853515625
1577715277.6501162,70,295.713623046875
1577715302.637766,71,296.5819091796875
1577715335.06169,72,270.09979248046875
1577715358.9704099,73,269.4244079589844
1577715382.5525608,74,345.7946472167969
1577715406.484869,75,320.46527099609375
1577715438.8188438,76,349.7098083496094
1577715462.721462,77,284.2997741699219
1577715487.666946,78,349.7366943359375
1577715511.521306,79,311.24053955078125
1577715543.8392088,80,346.3505554199219
1577715568.255075,81,338.0086669921875
1577715592.010585,82,315.7071228027344
1577715615.685335,83,378.3304748535156
1577715647.798966,84,314.02825927734375
1577715671.651011,85,344.40264892578125
1577715695.409309,86,320.9647216796875
1577715720.317037,87,310.08203125
1577715752.496408,88,373.7893371582031
1577715776.2285929,89,355.44757080078125
1577715800.008651,90,312.3111877441406
1577715823.6502569,91,355.54681396484375
1577715855.775139,92,230.19436645507812
1577715881.05485,93,217.65989685058594
1577715905.119231,94,245.34808349609375
1577715928.9694011,95,285.85308837890625
1577715961.358786,96,344.3546447753906
1577715985.108719,97,265.73931884765625
1577716009.571121,98,325.01605224609375
1577716033.3456771,99,386.1128845214844
