Wall time,Step,Value
1577689239.2134342,0,-79.64620971679688
1577689247.684174,1,-93.61152648925781
1577689271.513686,2,-120.73968505859375
1577689277.5688052,3,-97.99613189697266
1577689294.579006,4,-71.51787567138672
1577689300.791221,5,-57.36302947998047
1577689317.441908,6,-68.56063842773438
1577689326.115923,7,-71.0244369506836
1577689345.785482,8,-62.02703857421875
1577689351.897939,9,-27.115493774414062
1577689368.691185,10,-73.36612701416016
1577689376.536427,11,-50.88783645629883
1577689392.4599879,12,-23.685293197631836
1577689398.20787,13,-59.80773162841797
1577689413.337284,14,-49.37591552734375
1577689419.139661,15,-57.561431884765625
1577689434.15007,16,-49.039466857910156
1577689439.944515,17,-14.889514923095703
1577689455.331666,18,7.261480331420898
1577689461.28615,19,-61.84196090698242
1577689477.228096,20,-47.660282135009766
1577689485.912225,21,-62.06113052368164
1577689503.295006,22,-47.672481536865234
1577689509.135369,23,-10.401664733886719
1577689524.451139,24,-56.21167755126953
1577689530.038402,25,-6.038408279418945
1577689544.90557,26,-41.303863525390625
1577689550.648171,27,-51.373592376708984
1577689565.729012,28,-68.7118148803711
1577689571.335563,29,-27.03734588623047
1577689586.3263302,30,-36.053367614746094
1577689591.934268,31,-34.46827697753906
1577689606.9143271,32,-69.15814208984375
1577689612.735469,33,-8.547590255737305
1577689627.8978932,34,-57.516361236572266
1577689633.54387,35,-39.468223571777344
1577689648.702991,36,-43.198509216308594
1577689654.484092,37,-41.315673828125
1577689669.568686,38,-89.92520141601562
1577689675.183381,39,-10.346041679382324
1577689690.389863,40,9.272378921508789
1577689696.5236108,41,-2.315938949584961
1577689711.8979478,42,-55.63266372680664
1577689717.714185,43,-7.875060081481934
1577689733.06675,44,-16.776601791381836
1577689738.8743198,45,-24.649681091308594
1577689753.844605,46,-13.752778053283691
1577689759.580396,47,-24.90067481994629
1577689774.755847,48,-29.21088409423828
1577689780.4917629,49,-51.14728927612305
1577689795.885392,50,6.78533935546875
1577689801.439486,51,21.423038482666016
1577689816.4300659,52,-55.11106491088867
1577689822.21368,53,-33.311893463134766
1577689837.435028,54,-43.365936279296875
1577689843.128387,55,-31.02345848083496
1577689858.2511868,56,-17.499801635742188
1577689864.198613,57,-16.19711685180664
1577689879.219826,58,-27.827064514160156
1577689884.89469,59,-18.557003021240234
1577689899.8055198,60,-23.424785614013672
1577689905.532541,61,-36.86640167236328
1577689921.5575838,62,-10.845817565917969
1577689927.3011389,63,-20.121719360351562
1577689942.4931111,64,-19.34119987487793
1577689948.176306,65,-8.559732437133789
1577689963.444196,66,-42.452476501464844
1577689969.103691,67,-23.904033660888672
1577689984.142501,68,-23.399986267089844
1577689989.8841972,69,-24.002357482910156
1577690005.020294,70,-14.749109268188477
1577690010.662678,71,-25.944730758666992
1577690026.1390631,72,-9.047563552856445
1577690031.9788249,73,-9.63991928100586
1577690047.6443,74,-14.3037109375
1577690053.460882,75,-12.937356948852539
1577690068.74308,76,4.784645080566406
1577690074.554375,77,23.002168655395508
1577690089.8711271,78,-10.959161758422852
1577690095.510037,79,14.640392303466797
1577690110.3180642,80,12.424066543579102
1577690116.4333498,81,-24.874469757080078
1577690132.426608,82,27.3341121673584
1577690138.2452219,83,-9.278009414672852
1577690153.212267,84,-19.722984313964844
1577690158.8566961,85,-25.69596290588379
1577690173.971227,86,-23.669946670532227
1577690179.854542,87,-31.985868453979492
1577690194.871181,88,-31.291738510131836
1577690200.6806378,89,-12.970783233642578
1577690215.815905,90,-11.932304382324219
1577690221.706655,91,3.5341968536376953
1577690236.808397,92,8.774462699890137
1577690242.769304,93,-13.026388168334961
1577690258.036902,94,-4.3365631103515625
1577690263.790952,95,-9.002742767333984
1577690279.237377,96,17.25214195251465
1577690285.081022,97,-3.9428067207336426
1577690300.255092,98,-38.96181106567383
1577690305.926007,99,-5.17768669128418
